text,label
丰胸的方法有哪些,治疗方案
还差一点就进子宫了,其他
散光能好吗,疾病表述
我的脂肪瘤是否存在恶变的倾向？,疾病表述
白癜风不断恶化的原因,病因分析
吃了紧急避孕药需要注意休息吗，因为工作缘故，需要上夜班，会有影响吗,注意事项
25岁已经感觉脸部松弛了怎么办,治疗方案
小孩的眉毛剪了会长吗？,其他
172的身高还能长高吗？,其他
冻疮用三金冻疮酊有效果么？,功效作用
痤疮的治疗方法,治疗方案
宝宝脸上和下巴起小红点是什么原因？鼻子也有白点，怎么处理？,病情诊断
无精症想做吻合术，因为身在外地，请问需要预约么？医生您好，我是外地的病人，想咨询一下贵院做吻合术需要预约么？能否过去一周时间一次完成？_,其他
宫外孕手术后，右侧输卵管切除，左侧不通没有糖尿病，所以不清楚想要宝宝，怎样治疗_,其他
双眼皮手术有几种做法？,治疗方案
不孕不育是什么原因?,病因分析
睡觉时为什么会很痒刚开始挠只会红每天晚上都挠，挠了,病情诊断
遗传性癫痫能吃核桃吗,注意事项
照影需要住院吗？还是当天就可以不可以回家,其他
丙氨酸氨基转移酶和天门冬氨酸氨基转移酶高严重吗,其他
慢性肝炎早期症状有哪些表现,疾病表述
胃不好能吃南瓜吗,注意事项
为什么我的手到夏天就会脱皮而且很严重有什么办法翱4天...,病情诊断
脸上拆线后可以出去玩吗？可以流,其他
西宁青海治不孕不育专科医院,就医建议
冠状沟例外很多肉粒是什么,病情诊断
肛裂治疗用什么方法比较好,治疗方案
包皮过长应该怎么样治疗有效,治疗方案
请问白癜风是一种什么样的疾病,疾病表述
月经过了四天测出怀孕是否可以确定,其他
治疗宫颈粘连的费用多少钱,医疗费用
药流，该注意什么，现在恶心，头晕胃疼，浑,注意事项
长沙什么医院治疗膀胱癌好,就医建议
身上长小硬胞，痒怎么办？,治疗方案
听力障碍可不可以吃高丽参,注意事项
白癜风饮食防治,注意事项
输卵管堵塞造成不孕是怎么造成呢？,病因分析
4个月婴儿鼻塞怎么办,治疗方案
牙缝和牙龈间有个洞，舔到明显的石头的感觉牙龈萎缩，牙齿缝中间形成大洞，牙龈处里面有白色的牙齿，经常出血是什么问题呢？严重吗？_,其他
男性小腹疼痛是什么原因？,病情诊断
低烧两个月一直持续不退，头疼低烧两个月一直持续不退，头...我需不需要在做别的检查，能帮我分析一下病因吗！_,病因分析
脸上有红血丝想把它去除，因为脸上的...,治疗方案
喝酒为什么会导致股骨头坏死,病因分析
请问做视网膜脱落手术的成功概率有多大？大,其他
呼气试验阳性什么意思,指标解读
小孩子如何防止中暑 如何预防小孩子中暑呢,注意事项
福州看包皮包茎去哪个医院好，方法是什么,就医建议
你好，先天性肾虚可以治愈吗？用那种疗法好,其他
孕20周，最近越来越想睡怎么了？！,病情诊断
现在市场上真的有阴茎增大药吗？,其他
金纽曼斯DHA和福施福一块吃有冲突吗~我是孕妇，今天刚买了金纽曼斯DHA海藻油软胶囊，我之前一直吃福施福，看到金纽曼斯里还含有维生素C和维生素E，会不会和福施福冲突呀，因为福施福里面也含有多种维生素，我怕这两种维生素补多了有影响 没分了。。。。,其他
有什么方法可以让月经2天结束吗,其他
身体一直都在痒,治疗方案
高血糖的治疗方法主要有哪些,治疗方案
先天性厚甲症去哪里治,就医建议
白带为什么是橘黄色的，怎,病情诊断
如果癌症晚期还可以救吗？,疾病表述
肝硬化疑似肝癌AFP增长至1139，影像学提示恶变待排。已检查过，怎么治/治疗方法？,治疗方案
恐艾滋病站立坐卧不算很稳咋办,治疗方案
肾浮肿是如何产生的,病因分析
月经要完前做爱真的不会怀孕吗？,其他
放疗同时可以配合中药治疗吗？,注意事项
假性包皮过长需要做手术吗,疾病表述
乙肝不能喂奶,其他
昆明无痛人流手术大约多少钱,医疗费用
甘油三酯 心肌缺血 早搏甘油三酯高是不是很严重？请问大夫我妈妈情况严重吗？平时需要注意什么？,注意事项
得尿频该咋治疗更好,治疗方案
硬化性苔癣如何治疗---用什么药---能治好吗---那家医院...,治疗方案
怎样才能产后减肥,治疗方案
性生活的咨询性生活方面的咨询就一次出现这种情况要紧吗？在疲软的时候就射精了，这个正常吗？  多谢于大夫的解答！  患者，男，34岁。,病情诊断
疑病症最常见的症状是什么,疾病表述
怀孕二月死胎何因,病因分析
在正规市区人民医院验血hcg大概需要多少...,其他
便秘怎么调理好呢？,治疗方案
舌系带过短是遗传吗？我的孩子是,疾病表述
糖尿病能用艾叶红花泡脚吗？,注意事项
腰间盘突出能吃风湿安泰片吗有治疗的作用吗,治疗方案
咳嗽时振的头疼应吃什么药,治疗方案
病毒性角膜炎病毒性眼角膜  开始剧痛 怎么减轻通过病例和检查图片，我的症状是否有严重的趋势？现在的病情很严重吗？ 之后还有什么因素是导致复发的可能？现在视力模糊，原来视力200度，现在2.0_,治疗方案
求解：得了癫痫病怎么办呢？去哪家医院好了,治疗方案
治疗寻常型鱼鳞外用涂什么效果最好,治疗方案
治疗早期肝硬化肝硬化怎么回事呢？...,病情诊断
出现鬼剃头应该怎么治疗,治疗方案
三个月的小娃娃老是爱哭爱闹是怎么回事呢？,病情诊断
手和脚都肿的厉害会对宝宝有影响吗？,其他
看包皮过长那里更专业,就医建议
舌骨下方软组织钙化，该怎么办？,治疗方案
阴部有异味，戴卫生巾多久要摘下来一次,其他
宝宝八个月了，最近总咬牙是怎么回事...,病情诊断
穴位是指哪里啊？,其他
痔疮平时保持什么姿势？,其他
上海哪里有治疗梅毒的医院,就医建议
罗圈腿罗圈腿的矫正 补钙的方法补钙的方法    要不要佩戴矫正器_,治疗方案
原来每天早晚服用倍他洛克各25毫克，怎样减剂量？,治疗方案
黄连羊肝丸的副作用,功效作用
女性不孕要检查什么,就医建议
未婚月经不调挂什么科,就医建议
宝宝没有感冒怎么会发烧,病情诊断
我每次体检都是高密度脂蛋白偏低是不是有啥？我每次体...,指标解读
针灸减肥的原理是什么啊？会瘦吗？,其他
宝宝喝多少水好,其他
我的脚有嵌甲应该怎么弄，现在有点发炎，这算甲沟炎还是什么，有什么好办法没有,治疗方案
牙齿有黑东西，很坚硬，用牙刷刷不掉，怎么办？,治疗方案
消化，肠动力不足孩子四五天排大便一次，是哪出问题了？,病情诊断
孕期霉菌性阴道炎能用小苏打洗吗？,注意事项
扁桃体化脓会与什么疾病误诊？,其他
乌鲁木齐治妇科费用,医疗费用
小儿尿床正常吗？,其他
子宫肌瘤和子宫颈癌有什么区别,疾病表述
脐绕颈两周怎么办？这个要看宝宝能不能自己...,治疗方案
得病毒性肝炎怎样治较好,治疗方案
类风湿是什么的原因引起来的呢？,病因分析
胃下垂还要吃什么药，要换药吗？注意一些细节？,治疗方案
神经衰弱吃点什么好呢？,治疗方案
中性粒细胞比率偏低,治疗方案
我家宝宝一岁零三个月了，晚上睡觉有时候会磨牙，声音挺吓人的，是缺什么吗？,病情诊断
指甲厚是什么原因,病情诊断
我和女朋友10月25号晚上做爱体外射精，但我怕过程中有精子流入，我的女朋友上次例假是10月7号，我的女朋友例假不太准，怀孕几率大不大？,其他
花斑癣要怎样治,治疗方案
颈椎里有骨刺怎么治疗,治疗方案
药剂填充缩阴法是怎么一回事呢？,其他
哪有治疗喉癌偏方,治疗方案
服用金匮肾气丸再用痔疮栓有不良反应吗,后果表述
痛经,其他
你好，吃胶原蛋白对哮喘有用吗，,功效作用
山西内肝硬化专科医院哪家好,就医建议
大腿内侧有巴掌大的黑色素沉淀，怎么恢复,治疗方案
每次排便时无痛感会喷射一样出血怎么回事,病情诊断
我仔4岁掴窝囊肿无明显症证，必须要动手术切除吗,治疗方案
四物汤有没有用,功效作用
宝宝老是不拉大便妈妈可以吃点什么宝宝才两个月,治疗方案
月经第十四天排卵试纸弱阳正常吗?,指标解读
有什么中药可以调理肝肺火旺,治疗方案
死精子太多能治愈吗,疾病表述
小孩不会吃药,其他
天气炎热鼻出血患者增多的原因,病因分析
是否过敏性鼻炎要怎么检查？,就医建议
鼻炎，可以用盐水冲冼？,注意事项
肠癌手术后饮食注意事项是什么,注意事项
20号的时候脚扭了，脚面肿了、走路挺不方便、用什么方法能尽...,治疗方案
子宫肌瘤中药可以治好吗,其他
宝宝3个月:感觉宝宝忽冷忽热的，怎么办才好？,治疗方案
糖尿病人能吃什么水果，不能吃什么水果,注意事项
牙齿美白什么方法效果最好？,其他
甲状腺癌哪个位置淋巴结爱肿大,疾病表述
如何有效预防肺癌,注意事项
未成年人做人流手术，需要什么证明,其他
冬天了我肚子总是冰凉的怎么回事,病情诊断
广州妇科那个好?妇科炎症,就医建议
乙肝病人都会携带病毒的吗...,疾病表述
得了胆结石能不能抽烟了,注意事项
有什么中药可以减肥得吗嚷肿可以根治吗？,治疗方案
女性有了附件炎之后要怎么办？...,治疗方案
如何解决,其他
我下面很痒好难受怎么办,治疗方案
胰腺癌的原因是什么,病因分析
心脏病主要是什么原因引起呢？...,病因分析
哪医院骨肿瘤好,就医建议
人流有危险么,后果表述
