text,label
便秘会不会传染给别人？, 传染性
便秘有没有可能传染给家人？, 传染性
便秘这种病会传染吗？, 传染性
便秘这个病是不是会传染？, 传染性
便秘这种病能传染吗？, 传染性
便秘会不会通过接触传染？, 传染性
便秘这个病会不会传染给我？, 传染性
便秘这种病容易传染吗？, 传染性
便秘会不会传染给小孩？, 传染性
便秘这种病传染性强不强？, 传染性
便秘这个病是不是传染病？, 传染性
便秘这种病会不会感染其他人？, 传染性
便秘这个病会不会传染给其他人？, 传染性
便秘这种病会不会传染给其他人？, 传染性
便秘这个病有没有传染性？, 传染性
便秘这种病是不是会传染给其他人？, 传染性
便秘这个病会不会通过空气传染？, 传染性
便秘这种病会不会通过血液传染？, 传染性
便秘这个病会不会通过飞沫传染？, 传染性
便秘这种病会不会通过食物传染？, 传染性
便秘这个病是不是有传染性的？, 传染性
便秘这种病会不会传染给周围的人？, 传染性
便秘这个病是不是很容易传染？, 传染性
便秘这种病是不是有可能传染给他人？, 传染性
便秘这个病会不会传染给老人？, 传染性
便秘这种病会不会传染给宠物？, 传染性
便秘这个病会不会传染给小孩或者老人？, 传染性
便秘这种病会不会通过共用餐具传染？, 传染性
便秘这个病会不会通过共用毛巾传染？, 传染性
便秘这种病会不会通过共用杯子传染？, 传染性
前列腺癌会不会传染给别人？, 传染性
前列腺癌有没有可能传染给家人？, 传染性
前列腺癌这种病会传染吗？, 传染性
前列腺癌这个病是不是会传染？, 传染性
前列腺癌这种病能传染吗？, 传染性
前列腺癌会不会通过接触传染？, 传染性
前列腺癌这个病会不会传染给我？, 传染性
前列腺癌这种病容易传染吗？, 传染性
前列腺癌会不会传染给小孩？, 传染性
前列腺癌这种病传染性强不强？, 传染性
前列腺癌这个病是不是传染病？, 传染性
前列腺癌这种病会不会感染其他人？, 传染性
前列腺癌这个病会不会传染给其他人？, 传染性
前列腺癌这种病会不会传染给其他人？, 传染性
前列腺癌这个病有没有传染性？, 传染性
前列腺癌这种病是不是会传染给其他人？, 传染性
前列腺癌这个病会不会通过空气传染？, 传染性
前列腺癌这种病会不会通过血液传染？, 传染性
前列腺癌这个病会不会通过飞沫传染？, 传染性
前列腺癌这种病会不会通过食物传染？, 传染性
前列腺癌这个病是不是有传染性的？, 传染性
前列腺癌这种病会不会传染给周围的人？, 传染性
前列腺癌这个病是不是很容易传染？, 传染性
前列腺癌这种病是不是有可能传染给他人？, 传染性
前列腺癌这个病会不会传染给老人？, 传染性
前列腺癌这种病会不会传染给宠物？, 传染性
前列腺癌这个病会不会传染给小孩或者老人？, 传染性
前列腺癌这种病会不会通过共用餐具传染？, 传染性
前列腺癌这个病会不会通过共用毛巾传染？, 传染性
前列腺癌这种病会不会通过共用杯子传染？, 传染性
痣会不会传染给别人？, 传染性
痣有没有可能传染给家人？, 传染性
痣这种病会传染吗？, 传染性
痣这个病是不是会传染？, 传染性
痣这种病能传染吗？, 传染性
痣会不会通过接触传染？, 传染性
痣这个病会不会传染给我？, 传染性
痣这种病容易传染吗？, 传染性
痣会不会传染给小孩？, 传染性
痣这种病传染性强不强？, 传染性
痣这个病是不是传染病？, 传染性
痣这种病会不会感染其他人？, 传染性
痣这个病会不会传染给其他人？, 传染性
痣这种病会不会传染给其他人？, 传染性
痣这个病有没有传染性？, 传染性
痣这种病是不是会传染给其他人？, 传染性
痣这个病会不会通过空气传染？, 传染性
痣这种病会不会通过血液传染？, 传染性
痣这个病会不会通过飞沫传染？, 传染性
痣这种病会不会通过食物传染？, 传染性
痣这个病是不是有传染性的？, 传染性
痣这种病会不会传染给周围的人？, 传染性
痣这个病是不是很容易传染？, 传染性
痣这种病是不是有可能传染给他人？, 传染性
痣这个病会不会传染给老人？, 传染性
痣这种病会不会传染给宠物？, 传染性
痣这个病会不会传染给小孩或者老人？, 传染性
痣这种病会不会通过共用餐具传染？, 传染性
痣这个病会不会通过共用毛巾传染？, 传染性
痣这种病会不会通过共用杯子传染？, 传染性
iga肾病会不会传染给别人？, 传染性
iga肾病有没有可能传染给家人？, 传染性
iga肾病这种病会传染吗？, 传染性
iga肾病这个病是不是会传染？, 传染性
iga肾病这种病能传染吗？, 传染性
iga肾病会不会通过接触传染？, 传染性
iga肾病这个病会不会传染给我？, 传染性
iga肾病这种病容易传染吗？, 传染性
iga肾病会不会传染给小孩？, 传染性
iga肾病这种病传染性强不强？, 传染性
iga肾病这个病是不是传染病？, 传染性
iga肾病这种病会不会感染其他人？, 传染性
iga肾病这个病会不会传染给其他人？, 传染性
iga肾病这种病会不会传染给其他人？, 传染性
iga肾病这个病有没有传染性？, 传染性
iga肾病这种病是不是会传染给其他人？, 传染性
iga肾病这个病会不会通过空气传染？, 传染性
iga肾病这种病会不会通过血液传染？, 传染性
iga肾病这个病会不会通过飞沫传染？, 传染性
iga肾病这种病会不会通过食物传染？, 传染性
iga肾病这个病是不是有传染性的？, 传染性
iga肾病这种病会不会传染给周围的人？, 传染性
iga肾病这个病是不是很容易传染？, 传染性
iga肾病这种病是不是有可能传染给他人？, 传染性
iga肾病这个病会不会传染给老人？, 传染性
iga肾病这种病会不会传染给宠物？, 传染性
iga肾病这个病会不会传染给小孩或者老人？, 传染性
iga肾病这种病会不会通过共用餐具传染？, 传染性
iga肾病这个病会不会通过共用毛巾传染？, 传染性
iga肾病这种病会不会通过共用杯子传染？, 传染性
附睾炎会不会传染给别人？, 传染性
附睾炎有没有可能传染给家人？, 传染性
附睾炎这种病会传染吗？, 传染性
附睾炎这个病是不是会传染？, 传染性
附睾炎这种病能传染吗？, 传染性
附睾炎会不会通过接触传染？, 传染性
附睾炎这个病会不会传染给我？, 传染性
附睾炎这种病容易传染吗？, 传染性
附睾炎会不会传染给小孩？, 传染性
附睾炎这种病传染性强不强？, 传染性
附睾炎这个病是不是传染病？, 传染性
附睾炎这种病会不会感染其他人？, 传染性
附睾炎这个病会不会传染给其他人？, 传染性
附睾炎这种病会不会传染给其他人？, 传染性
附睾炎这个病有没有传染性？, 传染性
附睾炎这种病是不是会传染给其他人？, 传染性
附睾炎这个病会不会通过空气传染？, 传染性
附睾炎这种病会不会通过血液传染？, 传染性
附睾炎这个病会不会通过飞沫传染？, 传染性
附睾炎这种病会不会通过食物传染？, 传染性
附睾炎这个病是不是有传染性的？, 传染性
附睾炎这种病会不会传染给周围的人？, 传染性
附睾炎这个病是不是很容易传染？, 传染性
附睾炎这种病是不是有可能传染给他人？, 传染性
附睾炎这个病会不会传染给老人？, 传染性
附睾炎这种病会不会传染给宠物？, 传染性
附睾炎这个病会不会传染给小孩或者老人？, 传染性
附睾炎这种病会不会通过共用餐具传染？, 传染性
附睾炎这个病会不会通过共用毛巾传染？, 传染性
附睾炎这种病会不会通过共用杯子传染？, 传染性
肺癌会不会传染给别人？, 传染性
肺癌有没有可能传染给家人？, 传染性
肺癌这种病会传染吗？, 传染性
肺癌这个病是不是会传染？, 传染性
肺癌这种病能传染吗？, 传染性
肺癌会不会通过接触传染？, 传染性
肺癌这个病会不会传染给我？, 传染性
肺癌这种病容易传染吗？, 传染性
肺癌会不会传染给小孩？, 传染性
肺癌这种病传染性强不强？, 传染性
肺癌这个病是不是传染病？, 传染性
肺癌这种病会不会感染其他人？, 传染性
肺癌这个病会不会传染给其他人？, 传染性
肺癌这种病会不会传染给其他人？, 传染性
肺癌这个病有没有传染性？, 传染性
肺癌这种病是不是会传染给其他人？, 传染性
肺癌这个病会不会通过空气传染？, 传染性
肺癌这种病会不会通过血液传染？, 传染性
肺癌这个病会不会通过飞沫传染？, 传染性
肺癌这种病会不会通过食物传染？, 传染性
肺癌这个病是不是有传染性的？, 传染性
肺癌这种病会不会传染给周围的人？, 传染性
肺癌这个病是不是很容易传染？, 传染性
肺癌这种病是不是有可能传染给他人？, 传染性
肺癌这个病会不会传染给老人？, 传染性
肺癌这种病会不会传染给宠物？, 传染性
肺癌这个病会不会传染给小孩或者老人？, 传染性
肺癌这种病会不会通过共用餐具传染？, 传染性
肺癌这个病会不会通过共用毛巾传染？, 传染性
肺癌这种病会不会通过共用杯子传染？, 传染性
水痘会不会传染给别人？, 传染性
水痘有没有可能传染给家人？, 传染性
水痘这种病会传染吗？, 传染性
水痘这个病是不是会传染？, 传染性
水痘这种病能传染吗？, 传染性
水痘会不会通过接触传染？, 传染性
水痘这个病会不会传染给我？, 传染性
水痘这种病容易传染吗？, 传染性
水痘会不会传染给小孩？, 传染性
水痘这种病传染性强不强？, 传染性
水痘这个病是不是传染病？, 传染性
水痘这种病会不会感染其他人？, 传染性
水痘这个病会不会传染给其他人？, 传染性
水痘这种病会不会传染给其他人？, 传染性
水痘这个病有没有传染性？, 传染性
水痘这种病是不是会传染给其他人？, 传染性
水痘这个病会不会通过空气传染？, 传染性
水痘这种病会不会通过血液传染？, 传染性
水痘这个病会不会通过飞沫传染？, 传染性
水痘这种病会不会通过食物传染？, 传染性
水痘这个病是不是有传染性的？, 传染性
水痘这种病会不会传染给周围的人？, 传染性
水痘这个病是不是很容易传染？, 传染性
水痘这种病是不是有可能传染给他人？, 传染性
水痘这个病会不会传染给老人？, 传染性
水痘这种病会不会传染给宠物？, 传染性
水痘这个病会不会传染给小孩或者老人？, 传染性
水痘这种病会不会通过共用餐具传染？, 传染性
水痘这个病会不会通过共用毛巾传染？, 传染性
水痘这种病会不会通过共用杯子传染？, 传染性
精神病会不会传染给别人？, 传染性
精神病有没有可能传染给家人？, 传染性
精神病这种病会传染吗？, 传染性
精神病这个病是不是会传染？, 传染性
精神病这种病能传染吗？, 传染性
精神病会不会通过接触传染？, 传染性
精神病这个病会不会传染给我？, 传染性
精神病这种病容易传染吗？, 传染性
精神病会不会传染给小孩？, 传染性
精神病这种病传染性强不强？, 传染性
精神病这个病是不是传染病？, 传染性
精神病这种病会不会感染其他人？, 传染性
精神病这个病会不会传染给其他人？, 传染性
精神病这种病会不会传染给其他人？, 传染性
精神病这个病有没有传染性？, 传染性
精神病这种病是不是会传染给其他人？, 传染性
精神病这个病会不会通过空气传染？, 传染性
精神病这种病会不会通过血液传染？, 传染性
精神病这个病会不会通过飞沫传染？, 传染性
精神病这种病会不会通过食物传染？, 传染性
精神病这个病是不是有传染性的？, 传染性
精神病这种病会不会传染给周围的人？, 传染性
精神病这个病是不是很容易传染？, 传染性
精神病这种病是不是有可能传染给他人？, 传染性
精神病这个病会不会传染给老人？, 传染性
